method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
GALS,0,46.079649000001154,55.0,4.2,0.75,14.0,55.0,0.0,0.06848086124401914,0.562200956937799,0.5944770492294777,0.24274918300653595,0.6823855755894591,Gnegative
BR,0,3.056526500000473,,,,,,,0.07805023923444976,0.4473684210526316,0.5192168858617089,0.18539713182570328,0.5990783410138248,Gnegative
CC,0,3.100375799998801,,,,,,,0.07476076555023924,0.47368421052631576,0.5481038033688642,0.21132418484635235,0.6234939759036144,Gnegative
LP,0,0.5920989999995072,,,,,,,0.07715311004784689,0.6842105263157895,0.6586520538843821,0.3424195520021145,0.6978922716627635,Gnegative
RAkELD,0,1.41087829999924,,,,,,,0.0756578947368421,0.4784688995215311,0.5454798926425147,0.20844805582708809,0.6251851851851852,Gnegative
RAkELO,0,25.424110299998574,55.0,,,,,,0.06848086124401914,0.5382775119617225,0.5791176865155493,0.21583075280345676,0.6723891273247496,Gnegative
ACkELD,0,1.6189890999994532,,,,,,,0.07206937799043062,0.5717703349282297,0.621857034756948,0.27965384966136986,0.6747638326585695,Gnegative
ACkELO,0,28.938234600000214,55.0,,,,,,0.06728468899521531,0.5813397129186603,0.6020815419472088,0.24567354302607675,0.6922024623803009,Gnegative
GALS,1,34.45161410000037,40.0,3.925,0.75,8.0,40.0,0.0,0.07954545454545454,0.5598086124401914,0.5524029533618363,0.23914573585310459,0.6462765957446809,Gnegative
BR,1,2.842024200001106,,,,,,,0.08074162679425838,0.45933014354066987,0.506496958474453,0.19691643626207875,0.5945945945945946,Gnegative
CC,1,2.8488106000004336,,,,,,,0.08163875598086125,0.47607655502392343,0.5182836879186461,0.2124191797079337,0.6014598540145986,Gnegative
LP,1,0.5256693999999698,,,,,,,0.0950956937799043,0.6148325358851675,0.5822690650462153,0.33438975409889393,0.6293706293706294,Gnegative
RAkELD,1,1.344575099999929,,,,,,,0.07864832535885168,0.47607655502392343,0.5229299855641207,0.20980335321862406,0.6092124814264487,Gnegative
RAkELO,1,18.016810299999634,40.0,,,,,,0.07805023923444976,0.5430622009569378,0.5358518459536705,0.20930022950625413,0.6439290586630286,Gnegative
ACkELD,1,1.3059885000002396,,,,,,,0.07834928229665072,0.5119617224880383,0.5350383544519852,0.21235728886246674,0.6299435028248588,Gnegative
ACkELO,1,21.413633899999695,40.0,,,,,,0.07894736842105263,0.569377990430622,0.5493027037351637,0.22693324025354408,0.6526315789473685,Gnegative
GALS,2,41.55792769999971,54.0,3.925925925925926,0.75,12.0,54.0,0.0,0.06937799043062201,0.5789473684210527,0.6014013886478137,0.23852330875526753,0.6830601092896175,Gnegative
BR,2,2.792965999999069,,,,,,,0.08014354066985646,0.4449760765550239,0.5139361219371321,0.1778916263719395,0.5851393188854489,Gnegative
CC,2,2.8467614999990474,,,,,,,0.07595693779904306,0.48086124401913877,0.5413897165706574,0.18917463780276333,0.6186186186186187,Gnegative
LP,2,0.5034206000000268,,,,,,,0.07535885167464115,0.6889952153110048,0.6778773512526667,0.35561021897810396,0.704225352112676,Gnegative
RAkELD,2,1.30553990000044,,,,,,,0.07715311004784689,0.4784688995215311,0.5406387512560202,0.1939545555064131,0.6149253731343284,Gnegative
RAkELO,2,24.0142278000003,54.0,,,,,,0.07057416267942583,0.5382775119617225,0.5735676008345968,0.2017724064751752,0.66189111747851,Gnegative
ACkELD,2,1.4784424000008585,,,,,,,0.0708732057416268,0.5717703349282297,0.6204062285462959,0.29811216273340974,0.6766712141882674,Gnegative
ACkELO,2,27.77583489999961,54.0,,,,,,0.06907894736842106,0.5765550239234449,0.5926076634127596,0.21991537873890815,0.6822558459422283,Gnegative
GALS,3,27.54152950000025,36.0,3.7777777777777777,0.75,7.0,36.0,0.0,0.08014354066985646,0.5454545454545454,0.5546301000914478,0.24863146912340792,0.6417112299465241,Gnegative
BR,3,2.7798146000004635,,,,,,,0.08223684210526316,0.44019138755980863,0.5053383405186436,0.2045087898915834,0.582701062215478,Gnegative
CC,3,2.7241610000000946,,,,,,,0.08313397129186603,0.4473684210526316,0.5101409966341428,0.20910419076714631,0.5863095238095238,Gnegative
LP,3,0.5529832000011083,,,,,,,0.08971291866028708,0.6267942583732058,0.6164928377943426,0.3371177894231653,0.6503496503496503,Gnegative
RAkELD,3,1.2937728999986575,,,,,,,0.07864832535885168,0.5,0.5364994310116262,0.22327881016905404,0.6226685796269728,Gnegative
RAkELO,3,16.394155100000717,36.0,,,,,,0.07655502392344497,0.5215311004784688,0.5416948227923838,0.2207542908762421,0.6414565826330533,Gnegative
ACkELD,3,1.4623061999991478,,,,,,,0.08104066985645933,0.5358851674641149,0.5774166710984705,0.2781747994852529,0.6372155287817939,Gnegative
ACkELO,3,19.065389600000344,36.0,,,,,,0.07834928229665072,0.5430622009569378,0.5553308716939707,0.240628452688095,0.6478494623655914,Gnegative
GALS,4,23.943850100000418,31.0,4.096774193548387,0.75,5.0,31.0,0.0,0.07715311004784689,0.5741626794258373,0.5659088295602985,0.237288600471684,0.6596306068601583,Gnegative
BR,4,2.580259100001058,,,,,,,0.07894736842105263,0.44976076555023925,0.5144674715508988,0.19733708744077727,0.5938461538461538,Gnegative
CC,4,2.6283128000013676,,,,,,,0.07805023923444976,0.4569377990430622,0.5229506746474892,0.19960620882382485,0.6027397260273972,Gnegative
LP,4,0.4977110999989236,,,,,,,0.0798444976076555,0.6746411483253588,0.6529264268123425,0.4000497741130182,0.6884480746791132,Gnegative
RAkELD,4,1.2624281000007613,,,,,,,0.07505980861244019,0.569377990430622,0.5645054354871567,0.22892953929539295,0.664886515353805,Gnegative
RAkELO,4,13.066969100000279,31.0,,,,,,0.07386363636363637,0.5215311004784688,0.5542431804312253,0.2201120869451178,0.6456241032998565,Gnegative
ACkELD,4,1.3956061999997473,,,,,,,0.07236842105263158,0.569377990430622,0.6123051209515148,0.3032816147761462,0.6747311827956989,Gnegative
ACkELO,4,17.208095399999365,31.0,,,,,,0.07117224880382775,0.5789473684210527,0.5943324875178159,0.26277238699839317,0.6809651474530831,Gnegative
GALS,5,30.627416400000584,36.0,3.9166666666666665,0.75,7.0,36.0,0.0,0.0735645933014354,0.5,0.5348882170932497,0.22384287169772632,0.6392961876832844,Gnegative
BR,5,2.8051135999994585,,,,,,,0.08044258373205741,0.41148325358851673,0.4831608457579917,0.19680296104928457,0.5709728867623605,Gnegative
CC,5,2.7703233000011096,,,,,,,0.07954545454545454,0.43779904306220097,0.4961825833047628,0.20038335901564602,0.5882352941176471,Gnegative
LP,5,0.5152825000004668,,,,,,,0.09001196172248804,0.631578947368421,0.5873778724219603,0.3139290300904282,0.6487747957992999,Gnegative
RAkELD,5,1.2728540999996767,,,,,,,0.0798444976076555,0.4449760765550239,0.5020434013884034,0.20625513688698988,0.593607305936073,Gnegative
RAkELO,5,16.183781000001545,36.0,,,,,,0.07446172248803828,0.4784688995215311,0.5279940264954464,0.21496415969874877,0.6278026905829597,Gnegative
ACkELD,5,1.453010199998971,,,,,,,0.0756578947368421,0.5454545454545454,0.5834992230326326,0.2966796532045654,0.6557823129251701,Gnegative
ACkELO,5,19.036776299999474,36.0,,,,,,0.07177033492822966,0.5430622009569378,0.5667827283674357,0.2615501203830521,0.667590027700831,Gnegative
GALS,6,22.19872750000104,29.0,3.8620689655172415,0.75,5.0,29.0,0.0,0.0735645933014354,0.5478468899521531,0.5760580923371621,0.25851343293203755,0.6592797783933518,Gnegative
BR,6,2.7715243000002374,,,,,,,0.08343301435406698,0.430622009569378,0.4889970145910756,0.18222193406165915,0.5714285714285714,Gnegative
CC,6,2.720419799999945,,,,,,,0.07954545454545454,0.45454545454545453,0.5217309162291012,0.21535783427373403,0.5993975903614458,Gnegative
LP,6,0.4942621999998664,,,,,,,0.07954545454545454,0.6770334928229665,0.6498832746534793,0.3522528295514876,0.6899766899766899,Gnegative
RAkELD,6,1.3007813999993232,,,,,,,0.07864832535885168,0.48325358851674644,0.5261481692873908,0.20685100516876753,0.6149341142020498,Gnegative
RAkELO,6,12.900297500000306,29.0,,,,,,0.07177033492822966,0.5382775119617225,0.56585495439309,0.23262461917122934,0.6610169491525424,Gnegative
ACkELD,6,1.3998291000007157,,,,,,,0.0735645933014354,0.5526315789473685,0.599282053011419,0.29436306431351605,0.663013698630137,Gnegative
ACkELO,6,19.437799199999063,29.0,,,,,,0.07266746411483253,0.5861244019138756,0.5951364308054908,0.280904500464531,0.6781456953642384,Gnegative
GALS,7,24.58433739999964,27.0,3.740740740740741,0.75,5.0,27.0,0.0,0.07924641148325359,0.5550239234449761,0.5619647833648129,0.2503262228353256,0.6499339498018494,Gnegative
BR,7,3.1524677999987034,,,,,,,0.0819377990430622,0.42822966507177035,0.49820473331289644,0.20054344891874032,0.5758513931888545,Gnegative
CC,7,3.135264399999869,,,,,,,0.08104066985645933,0.4473684210526316,0.5049530086209567,0.20143622512991727,0.5887708649468892,Gnegative
LP,7,0.5649198000010074,,,,,,,0.09001196172248804,0.6339712918660287,0.607643449261892,0.31640978734589853,0.6495925494761351,Gnegative
RAkELD,7,1.5977603000010276,,,,,,,0.08133971291866028,0.45933014354066987,0.5207597652997169,0.22012901999130813,0.5964391691394659,Gnegative
RAkELO,7,14.430873899998915,27.0,,,,,,0.07505980861244019,0.5239234449760766,0.546592711998619,0.22318130634441496,0.6469760900140648,Gnegative
ACkELD,7,1.4585790999990422,,,,,,,0.07206937799043062,0.5263157894736842,0.5744770560766229,0.25728703561238564,0.6562054208273894,Gnegative
ACkELO,7,16.17640030000075,27.0,,,,,,0.11214114832535885,0.22727272727272727,0.23779833570855247,0.13442312653806462,0.358974358974359,Gnegative
GALS,8,27.602542700000413,32.0,3.78125,0.75,5.0,32.0,0.0,0.07057416267942583,0.5430622009569378,0.5824327209462883,0.22287025276891645,0.6703910614525139,Gnegative
BR,8,3.116738999999143,,,,,,,0.08074162679425838,0.430622009569378,0.5082449902799875,0.1787312012183514,0.5833333333333334,Gnegative
CC,8,3.281012899999041,,,,,,,0.07954545454545454,0.4449760765550239,0.5248851133454537,0.19180544601332186,0.5969696969696969,Gnegative
LP,8,0.5792109000012715,,,,,,,0.08283492822966507,0.6578947368421053,0.638727775304915,0.34644429363421614,0.676779463243874,Gnegative
RAkELD,8,1.4745770999998058,,,,,,,0.0756578947368421,0.48564593301435405,0.5557294399396334,0.21444460151827285,0.6251851851851852,Gnegative
RAkELO,8,16.305975399998715,32.0,,,,,,0.06997607655502393,0.5358851674641149,0.579715432221127,0.21817456192456192,0.6694915254237288,Gnegative
ACkELD,8,1.6181887000002462,,,,,,,0.07117224880382775,0.583732057416268,0.6378906017360072,0.3116349118003204,0.6835106382978723,Gnegative
ACkELO,8,19.376963500000784,32.0,,,,,,0.07236842105263158,0.5717703349282297,0.5894419988704735,0.2347377530768534,0.675603217158177,Gnegative
GALS,9,41.038963999999396,44.0,4.045454545454546,0.75,9.0,44.0,0.0,0.06937799043062201,0.5813397129186603,0.6004215518494407,0.26568483240897034,0.6821917808219178,Gnegative
BR,9,3.1782497000003787,,,,,,,0.07745215311004784,0.44258373205741625,0.5151274222209028,0.1873352736680411,0.5959438377535101,Gnegative
CC,9,3.2629768999995576,,,,,,,0.07685406698564594,0.45454545454545453,0.5241526589709402,0.19596415024046604,0.6040061633281972,Gnegative
LP,9,0.5996360999997705,,,,,,,0.07805023923444976,0.6842105263157895,0.6629733763081566,0.3930689314652868,0.6933019976498237,Gnegative
RAkELD,9,1.5600137000001268,,,,,,,0.07117224880382775,0.562200956937799,0.5654199668304478,0.20738255033557046,0.6703601108033241,Gnegative
RAkELO,9,22.493024600000354,44.0,,,,,,0.07236842105263158,0.5167464114832536,0.5553385942739559,0.20869070378518054,0.6472303206997084,Gnegative
ACkELD,9,1.439394999999422,,,,,,,0.07386363636363637,0.5478468899521531,0.5919995077414241,0.27599564929170034,0.6564673157162726,Gnegative
ACkELO,9,26.87440129999959,44.0,,,,,,0.07147129186602871,0.5645933014354066,0.5723936627010363,0.2196197273516861,0.671251719394773,Gnegative
