method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
GALS,0,4.835846100000708,10.0,2.0,0.75,5.0,14.0,0.0,0.14102564102564102,0.6474358974358975,0.6643993261640321,0.4932200152788388,0.6986301369863014,Gpositive
BR,0,0.7256352000003972,,,,,,,0.15224358974358973,0.47435897435897434,0.5594866316020163,0.39155982905982906,0.6090534979423868,Gpositive
CC,0,0.7857351999991806,,,,,,,0.13782051282051283,0.5833333333333334,0.6435428580212753,0.47832028494851175,0.6791044776119403,Gpositive
LP,0,0.21267269999952987,,,,,,,0.16987179487179488,0.6602564102564102,0.6292475014697236,0.47588183421516755,0.6602564102564102,Gpositive
RAkELD,0,0.4071194000007381,,,,,,,0.16506410256410256,0.6089743589743589,0.584742036842084,0.4112002516910492,0.6508474576271186,Gpositive
RAkELO,0,0.8446886000001541,10.0,,,,,,0.15865384615384615,0.6730769230769231,0.6573905331287317,0.4998000197511357,0.6837060702875399,Gpositive
ACkELD,0,0.2142798999993829,,,,,,,0.16987179487179488,0.6602564102564102,0.6292475014697236,0.47588183421516755,0.6602564102564102,Gpositive
ACkELO,0,0.8937174000002415,10.0,,,,,,0.17147435897435898,0.6217948717948718,0.6566675735110749,0.49960212201591514,0.6805970149253732,Gpositive
GALS,1,6.525672899999336,13.0,1.9230769230769231,0.75,5.0,14.0,0.0,0.16506410256410256,0.6410256410256411,0.6349045396622873,0.4946372182825385,0.6622950819672131,Gpositive
BR,1,1.3622003000000404,,,,,,,0.16506410256410256,0.5,0.5701170605771371,0.43092230207083065,0.6083650190114068,Gpositive
CC,1,1.7856260999997176,,,,,,,0.17307692307692307,0.5384615384615384,0.5787627462633861,0.4442641491651089,0.6115107913669064,Gpositive
LP,1,0.646111000000019,,,,,,,0.16346153846153846,0.6730769230769231,0.6472573173772874,0.5075488571503721,0.6751592356687898,Gpositive
RAkELD,1,0.9201765999987401,,,,,,,0.1794871794871795,0.5769230769230769,0.582545588542282,0.4386626777189329,0.6216216216216216,Gpositive
RAkELO,1,2.128566300001694,13.0,,,,,,0.16346153846153846,0.6666666666666666,0.6487159184429632,0.5067372642837039,0.6751592356687898,Gpositive
ACkELD,1,0.5656096000002435,,,,,,,0.16346153846153846,0.6730769230769231,0.6472573173772874,0.5075488571503721,0.6751592356687898,Gpositive
