method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
GALS,0,53.73066900000049,42.0,5.880952380952381,0.75,7.0,42.0,0.0,0.09070294784580499,0.14625850340136054,0.16272959183673472,0.07074829931972788,0.22330097087378642,Plant
BR,0,5.322484899999836,,,,,,,0.08928571428571429,0.05102040816326531,0.07416028911564626,0.02905328798185941,0.08695652173913043,Plant
CC,0,5.404437200000757,,,,,,,0.08900226757369614,0.047619047619047616,0.07245576422058184,0.029707627731943843,0.08187134502923976,Plant
LP,0,1.0269422999990638,,,,,,,0.12074829931972789,0.2891156462585034,0.2077492052437961,0.09265492872888625,0.30844155844155846,Plant
RAkELD,0,2.901808799999344,,,,,,,0.09041950113378684,0.08163265306122448,0.09791666666666665,0.0375,0.1307901907356948,Plant
RAkELO,0,29.39768720000029,42.0,,,,,,0.08843537414965986,0.08843537414965986,0.11300954592363262,0.04523563811489508,0.14285714285714285,Plant
ACkELD,0,4.121309699999983,,,,,,,0.08928571428571429,0.09523809523809523,0.13133827683615817,0.057438794726930316,0.16445623342175067,Plant
ACkELO,0,33.27675449999879,42.0,,,,,,0.09098639455782313,0.0782312925170068,0.09932703684922244,0.04037074599954924,0.12534059945504086,Plant
GALS,1,83.59177900000032,51.0,6.2745098039215685,0.75,10.0,51.0,0.0,0.09325396825396826,0.14625850340136054,0.1479929269667841,0.05924510272336359,0.21103117505995203,Plant
BR,1,7.566755300000295,,,,,,,0.08673469387755102,0.05442176870748299,0.08360866102244904,0.032377675840978594,0.09467455621301775,Plant
CC,1,6.613483200000701,,,,,,,0.08928571428571429,0.03741496598639456,0.0575301990092987,0.022522522522522525,0.06528189910979229,Plant
LP,1,0.8140730000013718,,,,,,,0.1159297052154195,0.3163265306122449,0.22077512743128952,0.09673693768807622,0.3239669421487603,Plant
RAkELD,1,2.9761354999991454,,,,,,,0.08871882086167801,0.05442176870748299,0.08034016087399794,0.0336514669494521,0.0927536231884058,Plant
RAkELO,1,43.424273300001005,51.0,,,,,,0.08815192743764172,0.06462585034013606,0.09248244823770618,0.037268565962970554,0.10888252148997135,Plant
ACkELD,1,5.052734699998837,,,,,,,0.09126984126984126,0.0782312925170068,0.0989896785588854,0.03920702250500766,0.125,Plant
ACkELO,1,38.44888649999848,51.0,,,,,,0.08843537414965986,0.09183673469387756,0.11966900131584143,0.05080761146144486,0.14754098360655737,Plant
GALS,2,67.7604596000001,41.0,5.878048780487805,0.75,7.0,41.0,0.0,0.08815192743764172,0.11564625850340136,0.1515845704759055,0.05401086609140301,0.1837270341207349,Plant
BR,2,7.502793600000587,,,,,,,0.08786848072562359,0.03741496598639456,0.060459299947408396,0.018623853211009175,0.06626506024096386,Plant
CC,2,7.707974099999774,,,,,,,0.08786848072562359,0.03741496598639456,0.06135256650430873,0.02042483660130719,0.06626506024096386,Plant
LP,2,1.2143310999999812,,,,,,,0.10997732426303855,0.35714285714285715,0.26627403208600353,0.1196428717185342,0.3618421052631579,Plant
RAkELD,2,3.826095599999462,,,,,,,0.08786848072562359,0.047619047619047616,0.07530145295772937,0.025839573405945088,0.08284023668639054,Plant
RAkELO,2,37.5337557999992,41.0,,,,,,0.08701814058956917,0.05442176870748299,0.08271249725455743,0.024885057471264366,0.0943952802359882,Plant
ACkELD,2,5.094601400000101,,,,,,,0.08815192743764172,0.08843537414965986,0.11960635073241732,0.03973911017936175,0.14325068870523416,Plant
ACkELO,2,37.578402500001175,41.0,,,,,,0.08871882086167801,0.07142857142857142,0.10113665899950533,0.03454244064160694,0.11830985915492957,Plant
GALS,3,49.941352599998936,32.0,6.03125,0.75,5.0,32.0,0.0,0.08701814058956917,0.16326530612244897,0.1887127287338233,0.06296495956873316,0.2457002457002457,Plant
BR,3,6.441660000000411,,,,,,,0.09098639455782313,0.034013605442176874,0.053087009608748736,0.014245014245014245,0.05865102639296188,Plant
