method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
GALS,0,188.60020879999863,34.0,89.32352941176471,0.75,5.0,34.0,0.0,0.1980665296490827,0.0,0.3224525899324105,0.1503060096850458,0.3243313425084393,cal500
BR,0,22.79996359999859,,,,,,,0.1405572048412879,0.0,0.2355345705181332,0.0711728480674798,0.3279344858962693,cal500
CC,0,20.598469299999124,,,,,,,0.1401766004415011,0.0,0.2161254785606643,0.0660798999332777,0.3168243368577258,cal500
LP,0,3.899866799998563,,,,,,,0.1996270076882088,0.0,0.3196951754914542,0.1479900909342239,0.3210355987055016,cal500
RAkELD,0,9.626722199998769,,,,,,,0.1409758696810535,0.0,0.2542183925972219,0.082105972691839,0.3492621222768798,cal500
RAkELO,0,5.621622300001036,34.0,,,,,,0.1443251883991779,0.0,0.1069453741680987,0.0296714601979666,0.1852170176192522,cal500
ACkELD,0,45.66173139999955,,,,,,,0.1452386389586663,0.0,0.2716869799767402,0.0932583526938602,0.3521222410865874,cal500
ACkELO,0,9.672821700001805,34.0,,,,,,0.1452005785186876,0.0,0.1120736109666263,0.0343328009996486,0.1793934179393418,cal500
GALS,1,267.8726416999998,46.0,87.08695652173913,0.75,7.0,46.0,0.0,0.1994747659282941,0.0,0.3159520310869365,0.144979294522618,0.3180221210149642,cal500
BR,1,23.52271610000025,,,,,,,0.138730303722311,0.0,0.2500015752366026,0.0772142170199022,0.3417012822828246,cal500
CC,1,21.461067099997308,,,,,,,0.1385019410824389,0.0,0.2334875918964405,0.071163557941829,0.3294637921503593,cal500
LP,1,4.247978799998236,,,,,,,0.2017964527669939,0.0,0.3103878849952298,0.1395409359665588,0.3125,cal500
RAkELD,1,9.874346900000091,,,,,,,0.1418512598005633,0.0,0.2470205312731943,0.0778178799574129,0.3297967991368459,cal500
RAkELO,1,7.645066900000529,46.0,,,,,,0.1408616883611174,0.0,0.1709863845094724,0.050168476604435,0.2672738071668976,cal500
ACkELD,1,46.89611909999803,,,,,,,0.1391870290020552,0.0,0.2697615397375786,0.0887282208681016,0.3607760880964866,cal500
ACkELO,1,12.421990000002552,46.0,,,,,,0.1409758696810535,0.0,0.2153079322348512,0.0670441878609257,0.3115241635687732,cal500
GALS,2,388.3176086000021,68.0,87.16176470588235,0.75,5.0,68.0,1.0,0.2036994747659282,0.0,0.3280971805493346,0.1461340049899326,0.3284818067754078,cal500
BR,2,22.256101700000727,,,,,,,0.1431072543198599,0.0,0.2493337524978362,0.0853426500079155,0.3356890459363957,cal500
CC,2,20.29957509999804,,,,,,,0.1431833751998173,0.0,0.2362183878738849,0.0809508552939213,0.3339235127478753,cal500
LP,2,4.041928399998142,,,,,,,0.2043084418055872,0.0,0.3296410986686996,0.1481172788150659,0.329502872845366,cal500
RAkELD,2,9.549118900002211,,,,,,,0.1444013092791352,0.0,0.2641799492704381,0.089140340868089,0.3536626916524701,cal500
RAkELO,2,11.027622500001598,68.0,,,,,,0.1491969247164497,0.0,0.1537997469864518,0.054347887061711,0.2331768388106416,cal500
ACkELD,2,44.161576099999365,,,,,,,0.1466468752378777,0.0,0.2633592601283169,0.0895829121671329,0.3455070494309495,cal500
ACkELO,2,18.04851459999918,68.0,,,,,,0.1437542817994976,0.0,0.2333831678636344,0.0745128009473349,0.3302003901400958,cal500
GALS,3,333.1827364000019,58.0,85.41379310344827,0.75,9.0,58.0,0.0,0.2025957220065464,0.0,0.3304479247009704,0.1487588275833558,0.32662871600253,cal500
BR,3,22.42493920000197,,,,,,,0.1391489685620766,0.0,0.2589053378537297,0.0828189140273915,0.3403103572717431,cal500
CC,3,20.382969299997058,,,,,,,0.1373220674430996,0.0,0.2561312594886978,0.0828935242482401,0.339436103991212,cal500
LP,3,4.141034399999626,,,,,,,0.2024434802466316,0.0,0.3363859633660017,0.1518647630352043,0.3306908267270668,cal500
RAkELD,3,9.463348199999018,,,,,,,0.1391870290020552,0.0,0.264374854277266,0.0861462877727814,0.3459130745841531,cal500
RAkELO,3,9.574254899998778,58.0,,,,,,0.138844485042247,0.0,0.209980838119988,0.0659214504813879,0.2935708752904725,cal500
ACkELD,3,43.80316699999821,,,,,,,0.1418131993605846,0.0,0.2738858207205816,0.0896946807242824,0.3558091286307054,cal500
ACkELO,3,15.466345000000729,58.0,,,,,,0.1402146608814798,0.0,0.2223425445830891,0.0712995293268444,0.3154960981047937,cal500
GALS,4,190.90686309999728,34.0,84.73529411764706,0.75,5.0,34.0,0.0,0.1956306614904468,0.0,0.3288833985305689,0.1543081418607781,0.3326408725006491,cal500
BR,4,22.720977299999504,,,,,,,0.1383116388825455,0.0,0.2486372323653578,0.08229332861117,0.3435693641618497,cal500
CC,4,20.80277720000231,,,,,,,0.1372459465631422,0.0,0.2287271483676507,0.0738006385543107,0.3361561119293078,cal500
LP,4,3.9320482999974047,,,,,,,0.1938037603714699,0.0,0.3342541936005191,0.1594638337977392,0.3371517833897423,cal500
RAkELD,4,9.454163099999278,,,,,,,0.1396437542817995,0.0,0.248720186364039,0.0834857778852706,0.3337570364990013,cal500
RAkELO,4,5.772147100000439,34.0,,,,,,0.145162518078709,0.0,0.0773173929361362,0.026610354969242,0.1276303751143641,cal500
ACkELD,4,43.618305700001656,,,,,,,0.1401385400015224,0.0,0.2738382028583299,0.0966121156297348,0.3660468319559228,cal500
ACkELO,4,9.256462200002716,34.0,,,,,,0.1395295729618634,0.0,0.1700100338432032,0.0522054783052396,0.2688472277622656,cal500
GALS,5,388.9523752000023,68.0,85.97058823529412,0.75,5.0,68.0,1.0,0.2068204308441805,0.0,0.3062156615660565,0.1441077161939195,0.3051150895140665,cal500
BR,5,23.147769700000936,,,,,,,0.1418512598005633,0.0,0.2585217611775963,0.0894073583408555,0.3411702315715043,cal500
CC,5,20.304389799999623,,,,,,,0.14078556748116,0.0,0.2456051566382488,0.0840562047647944,0.3384010016097299,cal500
LP,5,4.077755700000125,,,,,,,0.2075435792037755,0.0,0.3027483113496571,0.1399550375309795,0.3018819613365766,cal500
RAkELD,5,9.73125649999929,,,,,,,0.1428408312400091,0.0,0.2507003116817066,0.0857245702008334,0.3339840283939663,cal500
RAkELO,5,11.179697499999747,68.0,,,,,,0.1431453147598386,0.0,0.1941109907478675,0.063361601501262,0.2878242757053588,cal500
ACkELD,5,43.09463279999909,,,,,,,0.1440587653193271,0.0,0.2699812372768417,0.0937755506137929,0.3526594834958098,cal500
ACkELO,5,18.26320239999768,68.0,,,,,,0.1411661718809469,0.0,0.2313737730571779,0.0798750893005954,0.3311091073038774,cal500
