method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
GALS,0,6.343700700001136,20.0,2.85,0.75,5.0,23.0,0.0,0.16292134831460675,0.39325842696629215,0.7311802081032851,0.7310024310024309,0.7387387387387387,emotions
BR,0,0.8491529000002629,,,,,,,0.17696629213483145,0.30337078651685395,0.6697720128633184,0.6693681506133736,0.6886326194398682,emotions
CC,0,0.8433062999993126,,,,,,,0.18258426966292135,0.3258426966292135,0.668781572658063,0.6712910761231704,0.6869983948635634,emotions
LP,0,0.224127800000133,,,,,,,0.17415730337078653,0.4157303370786517,0.7298422588011894,0.7300969563375066,0.7335243553008596,emotions
RAkELD,0,0.33615260000078706,,,,,,,0.18445692883895132,0.33707865168539325,0.7085960698079211,0.706761030331006,0.71071953010279,emotions
RAkELO,0,3.350939100000687,20.0,,,,,,0.17322097378277154,0.38764044943820225,0.7171623544208301,0.7161535373873512,0.725111441307578,emotions
ACkELD,0,0.3706225000005361,,,,,,,0.18632958801498128,0.33707865168539325,0.7050639808913123,0.7032340328057464,0.7077826725403817,emotions
ACkELO,0,3.4956629000007524,20.0,,,,,,0.16760299625468164,0.39325842696629215,0.7407711357384041,0.7403797029382578,0.7475317348377997,emotions
GALS,1,9.38144900000043,31.0,2.806451612903226,0.75,8.0,35.0,0.0,0.17883895131086142,0.34269662921348315,0.6842160307539339,0.6734582543806836,0.6992125984251969,emotions
BR,1,0.8245998000002146,,,,,,,0.19288389513108614,0.28651685393258425,0.6365518922030906,0.6330567535145613,0.6555183946488294,emotions
CC,1,0.8274708999997529,,,,,,,0.199438202247191,0.2808988764044944,0.6388421805316425,0.633092807546353,0.6547811993517018,emotions
LP,1,0.20187500000065484,,,,,,,0.18352059925093633,0.398876404494382,0.7131833726736903,0.7028236244259118,0.7183908045977011,emotions
RAkELD,1,0.32470479999938107,,,,,,,0.1891385767790262,0.3539325842696629,0.6910954908958709,0.6851801777536256,0.6976047904191617,emotions
RAkELO,1,3.2311444000006304,31.0,,,,,,0.17790262172284643,0.34269662921348315,0.691146913147786,0.6790078884115195,0.7040498442367601,emotions
ACkELD,1,0.4096767000010004,,,,,,,0.1900749063670412,0.3258426966292135,0.6737889693866813,0.6642972513930192,0.687211093990755,emotions
ACkELO,1,3.449101000000155,31.0,,,,,,0.1900749063670412,0.3539325842696629,0.7043949115866777,0.6932650581049806,0.7120567375886525,emotions
GALS,2,6.975245800000266,23.0,2.782608695652174,0.75,5.0,26.0,0.0,0.1704119850187266,0.37640449438202245,0.7131337999745205,0.6973326909325599,0.7165109034267912,emotions
BR,2,0.8486274999995658,,,,,,,0.16573033707865167,0.37640449438202245,0.6844138068304814,0.6681879252258689,0.6984667802385008,emotions
CC,2,0.8065881000002264,,,,,,,0.1750936329588015,0.3595505617977528,0.6723081803673909,0.6576153135363662,0.6888519134775375,emotions
LP,2,0.2245879000001878,,,,,,,0.18632958801498128,0.3707865168539326,0.7075825009450071,0.693683709237439,0.7060561299852289,emotions
RAkELD,2,0.32899670000006154,,,,,,,0.17228464419475656,0.3651685393258427,0.7117295561775122,0.6983794717338689,0.7169230769230769,emotions
RAkELO,2,3.2842502999992575,23.0,,,,,,0.16385767790262173,0.39325842696629215,0.7168765953739542,0.7036776980148726,0.7244094488188977,emotions
ACkELD,2,0.36343789999955334,,,,,,,0.17415730337078653,0.3651685393258427,0.7082857148721334,0.6945877270168962,0.7138461538461538,emotions
ACkELO,2,3.466697199999544,23.0,,,,,,0.1900749063670412,0.3202247191011236,0.7019737218921944,0.6866678219406962,0.7053701015965167,emotions
GALS,3,9.331602300000668,31.0,2.774193548387097,0.75,8.0,34.0,0.0,0.17790262172284643,0.37640449438202245,0.6921424498085872,0.687316199309068,0.7021943573667712,emotions
BR,3,0.8238695000000007,,,,,,,0.17696629213483145,0.3258426966292135,0.6724502281760744,0.6646618261254466,0.690671031096563,emotions
CC,3,0.810269799998423,,,,,,,0.18258426966292135,0.3089887640449438,0.6705842655429882,0.664559672574963,0.6859903381642513,emotions
LP,3,0.21682220000002417,,,,,,,0.19194756554307116,0.3595505617977528,0.6998575979286122,0.6940080930795478,0.7007299270072993,emotions
RAkELD,3,0.3432166000002326,,,,,,,0.19382022471910113,0.3258426966292135,0.6593706287136452,0.6513948383864838,0.6800618238021638,emotions
RAkELO,3,3.386047599999074,31.0,,,,,,0.18258426966292135,0.33707865168539325,0.6921072448332338,0.684978715116017,0.7031963470319634,emotions
ACkELD,3,0.3669953999997233,,,,,,,0.20318352059925093,0.3258426966292135,0.6697647272865986,0.662041216533122,0.6746626686656672,emotions
ACkELO,3,3.4974406999990606,31.0,,,,,,0.19382022471910113,0.3146067415730337,0.6990939705624369,0.6917109448355016,0.705547652916074,emotions
GALS,4,6.451017800000045,21.0,2.9047619047619047,0.75,5.0,23.0,0.0,0.17415730337078653,0.3707865168539326,0.7017246246389631,0.6892594899291536,0.7102803738317757,emotions
