method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
GALS,0,5.191791200000807,17.0,2.9411764705882355,0.75,10.0,42.0,0.0,0.24939467312348668,0.23728813559322035,0.7528785308531059,0.6902309777900975,0.7621247113163973,flags
BR,0,0.5923478999993677,,,,,,,0.26150121065375304,0.1694915254237288,0.7319202174070514,0.6623557113463946,0.7464788732394366,flags
CC,0,0.5871315999993385,,,,,,,0.26150121065375304,0.22033898305084745,0.7358327314313229,0.6699342324342323,0.7452830188679245,flags
LP,0,0.10064019999845186,,,,,,,0.2857142857142857,0.23728813559322035,0.7217265619540931,0.6528492052858911,0.7216981132075472,flags
RAkELD,0,0.26472239999930025,,,,,,,0.2736077481840194,0.1864406779661017,0.7224069808457491,0.6598790724417167,0.7341176470588235,flags
RAkELO,0,1.5279578999998193,17.0,,,,,,0.26150121065375304,0.2033898305084746,0.7339645733507222,0.6510658660174737,0.7488372093023256,flags
ACkELD,0,0.1919036999988748,,,,,,,0.2687651331719128,0.2542372881355932,0.7320780463535298,0.6695275668641286,0.7412587412587412,flags
ACkELO,0,1.6659312000010686,17.0,,,,,,0.2566585956416465,0.15254237288135594,0.7056351603188602,0.6213453123184758,0.7523364485981309,flags
GALS,1,5.262950999998793,22.0,2.9545454545454546,0.75,8.0,38.0,0.0,0.23486682808716708,0.1864406779661017,0.7485101704282482,0.6567785105085279,0.7568922305764411,flags
BR,1,0.5954867000000377,,,,,,,0.2469733656174334,0.15254237288135594,0.7346982481076618,0.6481748559125379,0.7411167512690355,flags
CC,1,0.6545158000008087,,,,,,,0.24213075060532688,0.22033898305084745,0.7315417228376608,0.6332139896577587,0.7409326424870466,flags
LP,1,0.14161409999906027,,,,,,,0.2639225181598063,0.22033898305084745,0.7214194304667807,0.6442982606196077,0.7197943444730077,flags
RAkELD,1,0.33270789999914996,,,,,,,0.24455205811138014,0.1864406779661017,0.7403135667026335,0.6553628230980857,0.7468671679197995,flags
RAkELO,1,2.0479138999999122,22.0,,,,,,0.2324455205811138,0.2033898305084746,0.754612283465514,0.6690969869986247,0.7611940298507462,flags
ACkELD,1,0.19263739999951213,,,,,,,0.26150121065375304,0.1694915254237288,0.7185465473214739,0.6276934516580389,0.7244897959183674,flags
ACkELO,1,2.15640490000078,22.0,,,,,,0.23486682808716708,0.1864406779661017,0.7609316005989845,0.667751003597927,0.7662650602409639,flags
GALS,2,5.791074100001424,25.0,3.28,0.75,8.0,37.0,0.0,0.28329297820823246,0.2711864406779661,0.6908582643317782,0.6223975703475461,0.7096774193548387,flags
BR,2,0.6652806000001874,,,,,,,0.2736077481840194,0.2033898305084746,0.698603530596794,0.6172735696637649,0.7196029776674938,flags
CC,2,0.6268227999989904,,,,,,,0.2736077481840194,0.2711864406779661,0.6981399429284381,0.6473563001141424,0.7139240506329114,flags
LP,2,0.10367429999860178,,,,,,,0.26634382566585957,0.288135593220339,0.7072512012215314,0.6569226287941411,0.7193877551020408,flags
RAkELD,2,0.27650960000028135,,,,,,,0.2711864406779661,0.23728813559322035,0.7024167954795433,0.647441544417037,0.7185929648241206,flags
RAkELO,2,2.302642900000137,25.0,,,,,,0.2711864406779661,0.2542372881355932,0.7041794831388886,0.6452578568481534,0.7227722772277227,flags
ACkELD,2,0.2021735999987868,,,,,,,0.24939467312348668,0.2542372881355932,0.7182946746937852,0.6477902447059184,0.7352185089974294,flags
ACkELO,2,2.546518700000888,25.0,,,,,,0.2639225181598063,0.23728813559322035,0.7220527844770269,0.6617690793060252,0.7373493975903614,flags
GALS,3,8.000352800001565,33.0,3.3636363636363638,0.75,5.0,56.0,1.0,0.25907990314769974,0.2033898305084746,0.7152538504579321,0.6149453720882292,0.727735368956743,flags
BR,3,0.5927037999990716,,,,,,,0.2639225181598063,0.1864406779661017,0.7037093877880448,0.5712525864873401,0.72264631043257,flags
CC,3,0.5957827999991423,,,,,,,0.2929782082324455,0.1864406779661017,0.681116329448373,0.5857296566765505,0.6936708860759494,flags
LP,3,0.10227810000105819,,,,,,,0.3075060532687651,0.1694915254237288,0.6550385771653293,0.5668795837726596,0.6666666666666666,flags
RAkELD,3,0.26330179999968095,,,,,,,0.2639225181598063,0.1864406779661017,0.7109609804439486,0.6140209564076882,0.72544080604534,flags
RAkELO,3,3.012859300000855,33.0,,,,,,0.2711864406779661,0.1694915254237288,0.7086372629394522,0.6121369513178696,0.7185929648241206,flags
ACkELD,3,0.19328760000098555,,,,,,,0.2736077481840194,0.2033898305084746,0.6952762117534094,0.5914995445681767,0.7064935064935065,flags
ACkELO,3,3.3628857000003336,33.0,,,,,,0.26634382566585957,0.1864406779661017,0.7289898597210231,0.6189150322556017,0.7342995169082126,flags
GALS,4,6.344216399998913,23.0,2.869565217391304,0.75,11.0,48.0,0.0,0.23728813559322035,0.2542372881355932,0.7433285167967547,0.6493583453418422,0.7632850241545893,flags
BR,4,0.6085416000005353,,,,,,,0.24455205811138014,0.22033898305084745,0.7341909175406532,0.6414891757273774,0.7554479418886199,flags
CC,4,0.6002743000008195,,,,,,,0.24213075060532688,0.2542372881355932,0.7317203921157177,0.648068800798815,0.7524752475247525,flags
LP,4,0.09755000000041036,,,,,,,0.2784503631961259,0.2033898305084746,0.6964661131302748,0.6023432568450371,0.7160493827160493,flags
RAkELD,4,0.27205830000093556,,,,,,,0.2469733656174334,0.2542372881355932,0.718790092132874,0.6283846316581079,0.745,flags
RAkELO,4,2.0656428999991476,23.0,,,,,,0.21549636803874092,0.2711864406779661,0.7656125489495006,0.6738217136765231,0.7855421686746988,flags
ACkELD,4,0.1917312999994465,,,,,,,0.25181598062953997,0.22033898305084745,0.7230869261245377,0.6177609106805119,0.7425742574257426,flags
ACkELO,4,2.243368499999633,23.0,,,,,,0.22276029055690072,0.2711864406779661,0.7716216991722471,0.6936681274008464,0.7850467289719626,flags
GALS,5,5.828296300000147,22.0,3.090909090909091,0.75,12.0,45.0,0.0,0.2542372881355932,0.22033898305084745,0.7426851718085901,0.629797522237442,0.7640449438202247,flags
BR,5,0.5737191999996867,,,,,,,0.2542372881355932,0.1694915254237288,0.7563253640003615,0.6649076813116974,0.7682119205298014,flags
CC,5,0.5765633999999409,,,,,,,0.25907990314769974,0.1864406779661017,0.7428834848925938,0.6692143837122905,0.7573696145124716,flags
LP,5,0.09634360000018205,,,,,,,0.2929782082324455,0.2542372881355932,0.7130090357348612,0.6424105813597533,0.7218390804597701,flags
RAkELD,5,0.25991720000092755,,,,,,,0.2566585956416465,0.23728813559322035,0.7557149227318086,0.6698573819633236,0.7654867256637168,flags
RAkELO,5,2.122596999999587,22.0,,,,,,0.24455205811138014,0.2542372881355932,0.7571600596136521,0.6653788506602581,0.7740492170022372,flags
ACkELD,5,0.225185600000259,,,,,,,0.26634382566585957,0.23728813559322035,0.744296779916249,0.6532883156943308,0.7533632286995515,flags
ACkELO,5,2.3305297999995673,22.0,,,,,,0.2566585956416465,0.22033898305084745,0.7530289250360634,0.6420570681094399,0.771551724137931,flags
GALS,6,67.45718920000036,31.0,3.870967741935484,0.75,8.0,54.0,1.0,0.22760290556900725,0.3220338983050847,0.7524248619174969,0.6778582106849583,0.7602040816326531,flags
