method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset,status
GALS,0,60008.93014879999,34.0,51.61764705882353,0.75,5.0,34.0,0.0,0.0251895378560857,0.2215896151218401,0.5903558154594692,0.3149729754125773,0.6475178796802692,mediamill,
BR,0,5657.246495300002,,,,,,,0.0262838855053804,0.153192135428528,0.5364073863238684,0.1551054889168764,0.6187392337716142,mediamill,
CC,0,3970.98210959998,,,,,,,0.0267619109895503,0.1680710544295149,0.5240374242869322,0.151760574168662,0.6060760277912998,mediamill,
RAkELD,0,2317.633907100011,,,,,,,0.0262402919863837,0.1528884840203446,0.5394591113588866,0.1771164746778462,0.6194960327840265,mediamill,
RAkELO,0,2490.2483398000186,34.0,,,,,,0.0310476048743567,0.0519243907993623,0.4016454339164267,0.1397759753153769,0.5021932995902627,mediamill,
ACkELD,0,,,,,,,,,,,,,mediamill,out_of_memory
LP,0,,,,,,,,,,,,,mediamill,out_of_memory
ACkELO,0,10205.28973660001,34.0,,,,,,0.0371086072396809,0.0618689744173688,0.2530194056647981,0.1247015570926403,0.3206373668712332,mediamill,
GALS,1,80653.75717600001,34.0,50.3235294117647,0.75,5.0,34.0,0.0,0.025020425066874713,0.2289531617702877,0.5953935537350642,0.3538110457772095,0.6490316186781094,mediamill,
BR,1,1844.7869861999643,,,,,,,0.02602157277900416,0.15979655355651712,0.5376772058322296,0.16345961115334934,0.6202880112309025,mediamill,
CC,1,2353.2744305000524,,,,,,,0.026478553116072254,0.17444773400136643,0.5268662424722583,0.16400363057076636,0.6078477208215061,mediamill,
RAkELD,1,1415.9266613000073,,,,,,,0.025837427741863234,0.16169437485766341,0.5470131016431755,0.17735178864620366,0.6262259432423617,mediamill,
RAkELO,1,1427.9004602999776,34.0,,,,,,0.039259721918445546,0.06270401578987322,0.14885769474272986,0.10683880088095073,0.2047682845137324,mediamill,
ACkELO,1,6592.538208700018,34.0,,,,,,0.027590939462882748,0.10028087755256965,0.47445337976419777,0.14046423275361558,0.5821637926128279,mediamill,
LP,1,,,,,,,,,,,,,mediamill,out_of_memory
ACkELD,1,21608.48100129998,,,,,,,,,,,,mediamill,DNF (timeout=21600s)
GALS,2,39790.295266700035,34.0,50.88235294117647,0.75,5.0,34.0,0.0,0.02517901528253486,0.23009185455097547,0.5850016004069913,0.34110330053756727,0.6456826162372552,mediamill,
BR,2,1777.6637822000193,,,,,,,0.026035101802141043,0.1621498519699385,0.5395564106613564,0.1619279521499379,0.6210714012230208,mediamill,
CC,2,1519.6985470000072,,,,,,,0.026468030542521344,0.17497912396568738,0.5290542395316884,0.16034059068665474,0.6092562386960043,mediamill,
RAkELD,2,936.2200176999904,,,,,,,0.02599676956991987,0.16359219615880968,0.5417695871705559,0.1840113518161382,0.6227065471125947,mediamill,
RAkELO,2,994.1344347000122,34.0,,,,,,0.029998353968851678,0.07963258179609808,0.38191619330010684,0.12191659431409356,0.51484209758588,mediamill,
ACkELO,2,5722.089400900004,34.0,,,,,,0.03265380056566349,0.05336673498823351,0.3610292156229648,0.14901113205422298,0.4593905155357565,mediamill,
LP,2,,,,,,,,,,,,,mediamill,out_of_memory
ACkELD,2,21611.701271100028,,,,,,,,,,,,mediamill,DNF (timeout=21600s)
