method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
GALS,0,47.998252699999284,25.0,3.2,0.75,5.0,25.0,0.0,0.07514983863531581,0.686030428769018,0.7632260281607116,0.7763020068836202,0.7729805013927576,scene
BR,0,5.531004300000859,,,,,,,0.09036422314430613,0.5325034578146611,0.6685384564806696,0.6872412075926304,0.6913385826771653,scene
CC,0,5.494146699998964,,,,,,,0.08529276164130936,0.5753803596127247,0.6990618834672433,0.7130656730240439,0.7136222910216719,scene
LP,0,1.259374499999467,,,,,,,0.07791609036422315,0.7344398340248963,0.7707953193874931,0.7829546540611099,0.7764550264550265,scene
RAkELD,0,2.214687600000616,,,,,,,0.08022130013831259,0.6141078838174274,0.730186461379608,0.7432722587603241,0.7410714285714286,scene
RAkELO,0,22.293184599999222,25.0,,,,,,0.07376671277086215,0.6708160442600276,0.7641867610969973,0.7760099439871794,0.7724039829302988,scene
ACkELD,0,2.7743573999996443,,,,,,,0.08068234209313048,0.6625172890733056,0.7499365418565598,0.7616672184654405,0.7542134831460674,scene
ACkELO,0,23.637228599998707,25.0,,,,,,0.07261410788381743,0.7095435684647303,0.785331972902216,0.7955065791838599,0.7895791583166333,scene
GALS,1,45.67084249999971,26.0,2.5384615384615383,0.75,5.0,26.0,0.0,0.0776855693868142,0.6749654218533887,0.7553845344801249,0.7690084658099532,0.759800427655025,scene
BR,1,5.39317200000005,,,,,,,0.08898109727985247,0.5449515905947441,0.6727079769686466,0.6910154406817256,0.6916932907348243,scene
CC,1,5.362402600001587,,,,,,,0.08367911479944674,0.5795297372060858,0.6985886837721624,0.7148746570564076,0.7134964483030781,scene
LP,1,1.2917398000008689,,,,,,,0.08437067773167359,0.7275242047026279,0.7538934735224027,0.7681836072352476,0.756,scene
RAkELD,1,2.175179500000013,,,,,,,0.08367911479944674,0.6168741355463347,0.7195739701643199,0.7347078025315231,0.7309117865085248,scene
RAkELO,1,24.658270300000368,26.0,,,,,,0.0756108805901337,0.6791147994467497,0.7577491164760921,0.7706545788698356,0.7640287769784173,scene
ACkELD,1,3.124638599998434,,,,,,,0.08068234209313048,0.6625172890733056,0.7459435874218951,0.7592045569593889,0.7492836676217765,scene
ACkELO,1,25.91360369999893,26.0,,,,,,0.0776855693868142,0.7012448132780082,0.7705989252083323,0.7836803070040435,0.772757923128793,scene
GALS,2,48.92400210000051,24.0,3.0416666666666665,0.75,7.0,24.0,0.0,0.07653296449976948,0.6874135546334716,0.7627375771611413,0.7723239802879144,0.7665260196905767,scene
BR,2,5.862337799999295,,,,,,,0.08736745043798985,0.5615491009681881,0.692155249947347,0.7044501559590773,0.7050583657587549,scene
CC,2,5.923137399999177,,,,,,,0.08390963577685569,0.5878284923928078,0.7083675368486845,0.7230949064021847,0.7204301075268817,scene
LP,2,1.3491242999989481,,,,,,,0.07883817427385892,0.7372060857538036,0.7708592789024443,0.7813852427736357,0.7726063829787234,scene
RAkELD,2,2.409034199999951,,,,,,,0.08390963577685569,0.6293222683264177,0.7268042382647842,0.7364004561216949,0.7343065693430657,scene
RAkELO,2,23.542413399998622,24.0,,,,,,0.0776855693868142,0.677731673582296,0.7564643548249599,0.7670761679222678,0.7618374558303886,scene
ACkELD,2,3.200104099998498,,,,,,,0.07722452743199631,0.6832641770401107,0.7609191693625135,0.7720668937895222,0.7642505277973258,scene
ACkELO,2,25.619762000000264,24.0,,,,,,0.07676348547717843,0.69432918395574,0.7754785110832334,0.7852578877999693,0.7760591795561533,scene
GALS,3,48.85324000000037,23.0,3.260869565217391,0.75,5.0,23.0,0.0,0.0818349469801752,0.6846473029045643,0.7496384554653707,0.755314039410532,0.7529575504523313,scene
BR,3,6.204107600000498,,,,,,,0.09174734900875979,0.5408022130013831,0.6687091725488964,0.678326775876116,0.6846275752773375,scene
CC,3,5.7144890999989,,,,,,,0.09036422314430613,0.5573997233748271,0.679308404455733,0.6877158389008029,0.6918238993710691,scene
LP,3,1.3890597999998135,,,,,,,0.08483171968649147,0.719225449515906,0.7524215510028472,0.7578973332240292,0.7536813922356091,scene
RAkELD,3,2.2779265999997733,,,,,,,0.08275703088981097,0.6542185338865837,0.7445331771797976,0.7499238126817342,0.7448471926083866,scene
RAkELO,3,22.727239300000292,23.0,,,,,,0.07999077916090364,0.661134163208852,0.7477454689187941,0.7538830538160072,0.7523197715917203,scene
ACkELD,3,2.706059899999673,,,,,,,0.08736745043798985,0.6556016597510373,0.7341550941251248,0.7406339540182936,0.7336612789880534,scene
ACkELO,3,24.242145999998684,23.0,,,,,,0.08045182111572154,0.6929460580912863,0.7617123950946224,0.7669689966900526,0.7637102234258633,scene
GALS,4,67.89613779999854,27.0,3.0,0.75,7.0,27.0,0.0,0.0792992162286768,0.6874135546334716,0.7560500302408983,0.7674510336361126,0.7594405594405594,scene
BR,4,5.863011899999037,,,,,,,0.09059474412171507,0.5380359612724758,0.6747404235448645,0.688334091860734,0.6883425852498017,scene
CC,4,5.55549240000073,,,,,,,0.08782849239280774,0.5753803596127247,0.6929790820079019,0.707568685569581,0.703962703962704,scene
LP,4,1.396296999999322,,,,,,,0.08045182111572154,0.7302904564315352,0.7656027576675598,0.776348583500539,0.7668670674682698,scene
RAkELD,4,2.5653230999996595,,,,,,,0.08367911479944674,0.6639004149377593,0.7379247800739231,0.7497043466076029,0.7423704755145494,scene
RAkELO,4,23.7774387999998,27.0,,,,,,0.07791609036422315,0.6666666666666666,0.7526579030848998,0.7649030879225464,0.7585714285714286,scene
ACkELD,4,3.47705969999879,,,,,,,0.08414015675426464,0.6625172890733056,0.736484037691635,0.7484321792652366,0.7409510290986515,scene
ACkELO,4,28.493957699998646,27.0,,,,,,0.08045182111572154,0.6874135546334716,0.7624274405699637,0.773810061991425,0.7643484132343011,scene
GALS,5,51.675219099999595,25.0,3.2,0.75,7.0,25.0,0.0,0.07722452743199631,0.6887966804979253,0.763279495019261,0.7739068092225997,0.7678447678447679,scene
BR,5,6.396508599998924,,,,,,,0.09013370216689719,0.5366528354080221,0.6701235265721397,0.685650983877797,0.6909090909090909,scene
CC,5,6.568672699999297,,,,,,,0.08667588750576302,0.573997233748271,0.6954529589076988,0.7100195036118139,0.7103235747303543,scene
LP,5,1.340469500000836,,,,,,,0.08782849239280774,0.706777316735823,0.7451370435818557,0.7566111682260458,0.7478491065519524,scene
RAkELD,5,2.556815200001438,,,,,,,0.07999077916090364,0.6597510373443983,0.7462560981075279,0.7580686399432298,0.755461592670895,scene
RAkELO,5,26.85414909999963,25.0,,,,,,0.07676348547717843,0.6708160442600276,0.7596307077792426,0.7690223140358051,0.7653276955602537,scene
ACkELD,5,3.441941700000825,,,,,,,0.08414015675426464,0.6763485477178424,0.7430385973363065,0.7536398135576284,0.7477539737387698,scene
ACkELO,5,27.455815000001166,25.0,,,,,,0.07607192254495158,0.6998616874135546,0.7799926365705284,0.7893914518063956,0.7820343461030383,scene
GALS,6,65.90038829999867,32.0,2.875,0.75,10.0,32.0,0.0,0.07445827570308898,0.69432918395574,0.7629590432080591,0.7792837211174187,0.7723749119097957,scene
BR,6,5.997652300000482,,,,,,,0.09151682803135085,0.5449515905947441,0.6610674224517383,0.6874747897545544,0.6871552403467297,scene
CC,6,6.148310500000662,,,,,,,0.08529276164130936,0.5864453665283541,0.6948393364306783,0.7180406579269677,0.7131782945736435,scene
LP,6,1.7699568000007275,,,,,,,0.07699400645458737,0.7455048409405256,0.7713983665999634,0.7857795992438737,0.7770360480640854,scene
RAkELD,6,2.4417967000008503,,,,,,,0.07653296449976948,0.686030428769018,0.7608704124365383,0.7758906517124026,0.765867418899859,scene
RAkELO,6,27.909867499998654,32.0,,,,,,0.07584140156754264,0.681881051175657,0.7555573194468584,0.7732256557812424,0.7655024946543122,scene
ACkELD,6,3.2096937999995134,,,,,,,0.07607192254495158,0.6874135546334716,0.7619943547849839,0.7771108512295082,0.767277856135402,scene
ACkELO,6,28.914235199999894,32.0,,,,,,0.07491931765790687,0.7095435684647303,0.7763831007536267,0.7906619904545612,0.7811447811447811,scene
GALS,7,63.779617499998494,32.0,3.0625,0.75,8.0,32.0,0.0,0.06454587367450439,0.7206085753803596,0.7992973896639323,0.8026385689353259,0.8022598870056498,scene
BR,7,5.883472800000163,,,,,,,0.08114338404794837,0.5795297372060858,0.7120677075746401,0.7158268651828822,0.7241379310344828,scene
CC,7,5.677740999999514,,,,,,,0.07999077916090364,0.6113416320885201,0.7248474869543893,0.7284335670595784,0.7349121466768526,scene
LP,7,1.3766852999997354,,,,,,,0.06938681420009221,0.7648686030428768,0.7982795025289562,0.8013456772092694,0.7986622073578595,scene
RAkELD,7,2.4010488000003534,,,,,,,0.07123098201936376,0.6680497925311203,0.7665224185775115,0.7703839522245283,0.7742878013148283,scene
RAkELO,7,23.04765110000153,32.0,,,,,,0.06685108344859382,0.7012448132780082,0.7899537362183355,0.793079680999623,0.7934472934472935,scene
ACkELD,7,2.6968785999997635,,,,,,,0.07952973720608575,0.6804979253112033,0.7575119382642448,0.7610734939696061,0.7582340574632095,scene
ACkELO,7,25.05160160000014,32.0,,,,,,0.06892577224527432,0.7206085753803596,0.8007278465604664,0.8035911086472322,0.8002672010688042,scene
GALS,8,55.953630500000145,28.0,2.7142857142857144,0.75,9.0,28.0,0.0,0.06823420931304748,0.69432918395574,0.7818302832915563,0.7874356336692417,0.7861271676300579,scene
BR,8,6.083966500000315,,,,,,,0.08114338404794837,0.5712309820193637,0.704581925815911,0.7112001621887177,0.717948717948718,scene
CC,8,5.941134599999714,,,,,,,0.08022130013831259,0.5933609958506224,0.7151376427190143,0.7225070631247784,0.7264150943396226,scene
LP,8,1.3426832999994076,,,,,,,0.07169202397418165,0.7634854771784232,0.7909707955622949,0.796114730327692,0.7919732441471572,scene
RAkELD,8,2.7615209000014147,,,,,,,0.07261410788381743,0.681881051175657,0.7661084107745351,0.7727432350193889,0.7728911319394376,scene
RAkELO,8,24.170068900000842,28.0,,,,,,0.06892577224527432,0.6957123098201936,0.7806281800179408,0.7860259159416586,0.784115523465704,scene
ACkELD,8,3.23843449999913,,,,,,,0.0714615029967727,0.715076071922545,0.778836259696638,0.7837122464370411,0.7813822284908322,scene
ACkELO,8,25.482269800000722,28.0,,,,,,0.06662056247118488,0.7330567081604425,0.8029478557258979,0.8073851867815781,0.8035350101971448,scene
GALS,9,47.688525699999445,23.0,3.5652173913043477,0.75,5.0,23.0,0.0,0.06938681420009221,0.7316735822959889,0.7844994627468309,0.7943599722339375,0.7914067914067914,scene
BR,9,5.810972500001299,,,,,,,0.08414015675426464,0.5712309820193637,0.6940003541435246,0.7090602889346664,0.7150663544106167,scene
CC,9,5.701647399999274,,,,,,,0.08091286307053942,0.6099585062240664,0.7149292525293032,0.7295485623480245,0.7326732673267327,scene
LP,9,1.5005209999999352,,,,,,,0.07422775472568004,0.7551867219917012,0.7808909446424345,0.7901247096086049,0.7853333333333333,scene
RAkELD,9,2.3940038999990065,,,,,,,0.07883817427385892,0.6348547717842323,0.7338933256197511,0.7461068613609018,0.7477876106194691,scene
RAkELO,9,24.212076800000432,23.0,,,,,,0.07215306592899953,0.6957123098201936,0.7686107893179799,0.7795138564969815,0.7775408670931059,scene
ACkELD,9,3.6157618000015646,,,,,,,0.07445827570308898,0.6874135546334716,0.7676573056964588,0.7739757776850541,0.7714083510261854,scene
ACkELO,9,25.480708200000663,23.0,,,,,,0.07169202397418165,0.7289073305670816,0.787732051504947,0.7959890267130292,0.7916945746818487,scene
