method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
GALS,0,1.3966205000006084,6.0,3.1666666666666665,0.75,6.0,39.0,0.0,0.19305555555555556,0.2777777777777778,0.8058704742951668,0.8058097062411811,0.806136680613668,syn_a
BR,0,0.5064689000000726,,,,,,,0.2,0.24444444444444444,0.8024874480652741,0.8019152486230913,0.8021978021978022,syn_a
CC,0,0.5478579999999056,,,,,,,0.17777777777777778,0.4666666666666667,0.8172274312843807,0.8159439624767088,0.8181818181818182,syn_a
LP,0,0.07922060000055353,,,,,,,0.22777777777777777,0.4,0.7522091058218406,0.7522561307821226,0.7522658610271903,syn_a
RAkELD,0,0.21977260000039678,,,,,,,0.22777777777777777,0.23333333333333334,0.7620091753353648,0.7606532010012205,0.7630057803468208,syn_a
RAkELO,0,0.4779363999996349,6.0,,,,,,0.24583333333333332,0.12222222222222222,0.6909863630627556,0.6919405770957943,0.7416058394160584,syn_a
GALS,1,7.195343600000342,27.0,4.111111111111111,0.75,6.0,66.0,1.0,0.17777777777777778,0.35555555555555557,0.8200771867032445,0.8209223900809101,0.8207282913165266,syn_a
BR,1,0.5615809000000809,,,,,,,0.19166666666666668,0.24444444444444444,0.801684167258216,0.8018289278100654,0.8022922636103151,syn_a
CC,1,0.6031472999993639,,,,,,,0.2125,0.36666666666666664,0.7648726654314377,0.7647252964575062,0.7649769585253456,syn_a
LP,1,0.0878381000002264,,,,,,,0.24861111111111112,0.32222222222222224,0.7228256815080517,0.7272657762749583,0.7258805513016845,syn_a
RAkELD,1,0.23689199999989796,,,,,,,0.20972222222222223,0.28888888888888886,0.7863335483146017,0.786033376419987,0.7864214992927864,syn_a
RAkELO,1,2.1814367000006314,27.0,,,,,,0.18472222222222223,0.32222222222222224,0.8061592759587443,0.8098461252494433,0.8091822094691535,syn_a
GALS,2,8.485861199999817,44.0,3.909090909090909,0.75,5.0,63.0,1.0,0.16944444444444445,0.4444444444444444,0.8313577090301942,0.8316332704434299,0.8314917127071824,syn_a
BR,2,0.5083807999999408,,,,,,,0.18888888888888888,0.34444444444444444,0.8078760574753372,0.8070883750700314,0.807909604519774,syn_a
CC,2,0.5922554999997374,,,,,,,0.2152777777777778,0.45555555555555555,0.7776798712509487,0.7780671227157655,0.7782546494992847,syn_a
LP,2,0.09394929999962187,,,,,,,0.24722222222222223,0.37777777777777777,0.7557932914983272,0.7544715874474538,0.7568306010928961,syn_a
RAkELD,2,0.225257000000056,,,,,,,0.23333333333333334,0.2777777777777778,0.7632127700344186,0.7633157465398029,0.7633802816901408,syn_a
RAkELO,2,3.5245647000001554,44.0,,,,,,0.17777777777777778,0.4,0.8219128391688849,0.822490014150434,0.8227146814404432,syn_a
GALS,0,16.724848800000473,84.0,4.333333333333333,0.75,6.0,118.0,2.0,0.21666666666666667,0.24444444444444444,0.773872153343015,0.7731692794890077,0.7756041426927502,syn_b
BR,0,0.7733729999999923,,,,,,,0.2222222222222222,0.2222222222222222,0.7688485751951925,0.7671403575538117,0.7695852534562212,syn_b
CC,0,0.7194782999995368,,,,,,,0.21,0.3333333333333333,0.7825247670781822,0.7817192549419111,0.784,syn_b
LP,0,0.11948980000033771,,,,,,,0.31555555555555553,0.2222222222222222,0.6709140472921289,0.6685486132120613,0.6705336426914154,syn_b
RAkELD,0,0.3332835999999588,,,,,,,0.24444444444444444,0.15555555555555556,0.7541149689756642,0.7535444363476356,0.7539149888143176,syn_b
RAkELO,0,6.254973000000064,84.0,,,,,,0.20222222222222222,0.24444444444444444,0.7904376837554647,0.7899097807719475,0.7908045977011494,syn_b
GALS,1,3.8809441999992487,47.0,4.787234042553192,0.75,6.0,78.0,1.0,0.19444444444444445,0.3333333333333333,0.7742117427770551,0.7760191105418751,0.7747747747747747,syn_b
BR,1,0.26994900000045163,,,,,,,0.19555555555555557,0.23333333333333334,0.7735991791032023,0.7766444603035584,0.7743589743589744,syn_b
CC,1,0.26791859999957524,,,,,,,0.18666666666666668,0.35555555555555557,0.782037276844481,0.787733101238536,0.7823834196891192,syn_b
LP,1,0.04377130000011675,,,,,,,0.2311111111111111,0.34444444444444444,0.7455004628714237,0.7435031666592513,0.7450980392156863,syn_b
RAkELD,1,0.12164450000000215,,,,,,,0.21888888888888888,0.24444444444444444,0.7562992273128804,0.7594434591827033,0.7564894932014833,syn_b
RAkELO,1,1.435199599999578,47.0,,,,,,0.19111111111111112,0.37777777777777777,0.7826659574079939,0.7854550931237365,0.7839195979899497,syn_b
GALS,2,2.569396200000483,36.0,5.027777777777778,0.75,6.0,43.0,0.0,0.2288888888888889,0.24444444444444444,0.7690789623394035,0.768792921211138,0.7700892857142857,syn_b
BR,2,0.2789044000001013,,,,,,,0.24222222222222223,0.15555555555555556,0.7475584574225518,0.7467377009390082,0.7505720823798627,syn_b
CC,2,0.28482919999987644,,,,,,,0.27555555555555555,0.26666666666666666,0.6956754895905974,0.695858482995187,0.6953316953316954,syn_b
LP,2,0.043765800000073796,,,,,,,0.28,0.2222222222222222,0.6934142606539127,0.6925469652183153,0.6934306569343066,syn_b
RAkELD,2,0.12223730000005162,,,,,,,0.26666666666666666,0.1,0.7278135304160454,0.726969130506258,0.7285067873303167,syn_b
RAkELO,2,1.1168025999995734,36.0,,,,,,0.23555555555555555,0.2222222222222222,0.7578233719186017,0.757233617941027,0.7585421412300684,syn_b
