method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
GALS,0,162.73215580000033,59.0,6.3559322033898304,0.75,11.0,60.0,0.0,0.1974616292798111,0.2231404958677686,0.5922363924944993,0.39322024096058017,0.6543826416394007,yeast
BR,0,14.263650799999596,,,,,,,0.19549390003935457,0.1652892561983471,0.5558179070291903,0.35229223780743546,0.6285286969527014,yeast
CC,0,15.946301800000583,,,,,,,0.1937229437229437,0.20523415977961432,0.5649326985212841,0.3616411902902266,0.6366488281970843,yeast
LP,0,10.540804300000673,,,,,,,0.20316804407713498,0.256198347107438,0.6022564813069449,0.41321466971575044,0.6500593119810202,yeast
RAkELD,0,9.240773900000931,,,,,,,0.19913419913419914,0.17768595041322313,0.5761460412298176,0.3688751624908683,0.6434108527131783,yeast
RAkELO,0,102.51683720000074,59.0,,,,,,0.19411648957103503,0.19421487603305784,0.566373829187121,0.3608612677413743,0.6380480645753073,yeast
ACkELD,0,13.391616500000964,,,,,,,0.19569067296340023,0.20110192837465565,0.5682402172641311,0.360543769720408,0.6380345768880801,yeast
ACkELO,0,139.53421619999972,59.0,,,,,,0.1966745375836285,0.21349862258953167,0.5845726887757627,0.37649584646928025,0.652891126931759,yeast
GALS,1,257.1802114000002,46.0,7.108695652173913,0.75,8.0,46.0,0.0,0.1929358520267611,0.25068870523415976,0.604568833853535,0.3910992659797122,0.6700319703853272,yeast
BR,1,24.99992590000147,,,,,,,0.19067296340023612,0.17355371900826447,0.565138977149878,0.3558875401832437,0.6389716840536512,yeast
CC,1,19.414002899999105,,,,,,,0.18988587170405352,0.23829201101928374,0.581129419495088,0.3783676413183484,0.6479387085005472,yeast
LP,1,8.848054800000682,,,,,,,0.2085792994883904,0.2768595041322314,0.5949534951860216,0.39921440350454535,0.6417708685366678,yeast
RAkELD,1,7.677700999998706,,,,,,,0.1897874852420307,0.20110192837465565,0.5931037310819895,0.3838002821928005,0.6580393547243396,yeast
RAkELO,1,82.0263204999992,46.0,,,,,,0.18742621015348288,0.2327823691460055,0.596552953302971,0.3841223881709194,0.6639618980419827,yeast
